corpus,record_id,title,year,doi,doc_type,methodology,geography,thesis,theme_1_score,theme_2_score,theme_3_score,theme_4_score,dual_use_explicit,dual_use_direction,dual_use_structural,key_quotes,policy_relevance,via_or_origin
main,24,"Huawei's Smart Cities and CCP Influence, At Home and Abroad",2018,,policy_report,policy_analysis,"China, global","Huawei's smart city technologies, while commercially marketed, can be leveraged by the CCP for surveillance and social control at home and potentially extend authoritarian influence abroad.",2,2,2,1,yes,civil_to_military,yes,"Huawei compares its flagship smart city product, its 'Intelligent Operation Center', to a smart city ‘brain’ that guides and makes sense of the input from the city’s ‘nervous system’—networked cameras and other sensing devices— to provide comprehensible, actionable information on crime and unrest to police and municipal decisionmakers. || Whether Huawei’s safe city technologies are being employed by authoritarian and kleptocratic regimes to reinforce their rule is an understudied question. However, it is both interesting and suggestive that the list of countries where Huawei’s safe city solutions were first deployed includes a number of authoritarian and hybrid regimes with close ties to China, among them Russia, Pakistan, Venezuela, Laos, and Angola. || While the smart cities of the future could be better, more efficient cities, they could also provide authoritarian regimes with previously undreamt of tools of surveillance and control.","Raises concerns about foreign intelligence risks from Huawei equipment in Western municipalities, and suggests need for caution in adopting smart city technologies from companies with ties to authoritarian regimes.",A
main,25,Smart Cities with Chinese Characteristics,2021,,journal_article,policy_analysis,"China, Israel, global","Chinese smart city systems exported globally pose dual-use risks to national security and privacy, requiring comprehensive national planning in Israel.",2,2,1,1,yes,civil_to_military,tangential,"Autocratic regimes can effectively exploit these technologies to reinforce their power and tighten control over their populations. || Chinese companies export various smart city systems to dozens of countries, including Israel, notwithstanding Western allegations of breaches of human rights and dangers to national security. || The social credit rating is one aspect of the Communist Party's efforts to use advanced technology in order to monitor the public and reinforce its control, for the benefit of what it perceives as protection of national security and internal stability.","Recommends Israel prepare a comprehensive national plan to map existing situation, identify challenges, manage risks to privacy, data security, and cyber protection, and review foreign relations of local authorities regarding smart tech.",A
main,27,U.S.-China Competition in Emerging Technologies: LiDAR,2023,,policy_report,policy_analysis,global,"LiDAR is a dual-use technology with both civilian and military applications, and U.S.-China competition in LiDAR poses national security risks due to Chinese industrial policies and technology transfer.",3,0,0,1,yes,both,yes,"Some emerging technologies have both civilian and military uses. Among these technologies is Light Detection and Ranging (LiDAR), a remote sensing technology used in automotive, agriculture, weather, manufacturing, and other systems. || The United States first developed LiDAR as a military technology in the 1960s for defense and aerospace uses. Since then, the LiDAR market has expanded with the development of systems capable of autonomous navigation, for which LiDAR is a critical enabling technology. || PRC policies seek to develop technologies that are interoperable for civilian and military use and may allow PRC state access.","Discusses issues for Congress: strengthening procurement rules to review/restrict acquisition of PRC LiDAR, economic tools related to foreign investment, export controls, fair trade, antitrust, standards, capital markets, IP licensing, and bankruptcy.",A
main,28,China's smart cities and the future of geopolitics,2023,,policy_report,policy_analysis,"China, Malaysia, Kenya, Pakistan, Uganda, Mauritius, Philippines, Papua New Guinea, Indonesia, India, France, Germany","Chinese smart city and city brain technologies, driven by civil-military fusion, are geostrategic tools that enable surveillance, military integration, and global influence.",2,2,2,1,yes,both,yes,"The Institute—which focuses on eclectic subjects like intelligent wargaming, swarm intelligence, aerospace security and the city brain—explains the urban brain's value for the military brain: 'It can be said that the confrontation of wars between countries in the future will be reflected in … [confrontations] between several military brains. Based on the research progress of the urban brain, we can combine various military elements into a brain-like combination to form the structural diagram of the military brain[.]' || Smart city systems are highly complex, which makes it difficult for importing countries to scrutinise them. City brains—the next evolutionary step of smart cities—are even more complex, potentially incomprehensible, because of their extensive deployment of artificial intelligence. Little appears to be done to increase the auditability of those system. || The smarter its exported surveillance infrastructure becomes; the easier spying becomes. ... the smarter its exported surveillance infrastructure, the more influence it can wield in those regions, since it has a privileged but not exclusive capability to control its technology within a given territory.","Recommends that democracies draw up initiatives promoting privacy-friendly smart urban turnkey solutions that can compete globally, and expand research on privacy-enhancing technologies for law enforcement.",A
main,31,AI Global Surveillance (AIGS) Index,,,policy_report,other,global,"This index maps the global adoption of AI-based surveillance technologies, linking them to regime characteristics and military spending.",0,0,0,0,no,both,no,"AI Global Surveillance (AIGS) Index || Aggregate Regime Score: Comprised of evenly weighted average of country scores from Freedom in the World 2019, the EIU Democracy Index 2018, and the V-Dem Dataset version 9, Electoral Democracy Index. || Countries with an average score less than 2.5 are labeled closed autocracies.","Provides data on global surveillance technology adoption, useful for policy analysis on the relationship between regime type and surveillance infrastructure.",A
main,34,WE SENSE TROUBLE: AUTOMATED DISCRIMINATION AND MASS SURVEILLANCE IN PREDICTIVE POLICING IN THE NETHERLANDS,2020,,policy_report,case_study,Netherlands (Roermond),"The Dutch police's Sensing project in Roermond constitutes unlawful mass surveillance and discrimination through predictive policing, violating privacy, data protection, and non-discrimination rights.",1,2,2,1,no,neither,no,"The Sensing project includes indiscriminate mass surveillance because it monitors behaviour by tracking movement which is not targeted at a very specific location (an entire city), nor at specific individuals or groups, and it is not based on reasonable suspicion; the data of all people travelling by car is collected and analysed. || The police present the predictive policing system as a neutral system, guided by objective criminal data statistics, while in reality the Sensing project embodies human choices and biased data, which results in amplifying and entrenching bias in policing. || The use of the concept of ‘mobile banditry’ inevitably leads to a predominant focus on particular groups of people on the grounds of their nationality and ethnicity, while at the same time overlooking people from other ethnic and/or national backgrounds.","The report provides detailed recommendations to Dutch law enforcement, legislature, and data protection authority, including halting the Sensing project, prohibiting algorithmic systems without safeguards, implementing mandatory human rights impact assessments, and creating an independent supervisory authority.",A
main,36,COMMENTS OF THE ELECTRONIC PRIVACY INFORMATION CENTER to the U.S. Department of Justice and Department of Homeland Security Request for Written Submissions on Section 13(e) of EO 14074,2024,,policy_report,policy_analysis,United States,"Law enforcement use of surveillance technologies like facial recognition, predictive algorithms, social media monitoring, and DNA analysis poses severe risks to civil rights and liberties, requiring a framework of ten protective principles.",0,2,2,1,no,neither,no,"Facial recognition is a dangerous and privacy-invasive surveillance technology that law enforcement should not use. || Predictive policing technology is based on discriminatory policing patterns. ... Running the data through a series of math formulas and code does not substantively change the biased nature of the original data that determines the rules in the new algorithm. || The more a child engages with law enforcement, the more likely they are to enter the revolving door of the criminal justice system.","The paper provides extensive recommendations for DOJ and DHS, including prohibiting mass surveillance, requiring warrants, independent audits, data minimization, and transparency. It calls for enforceable safeguards to protect civil rights and civil liberties.",A
main,41,"Paradigm Initiative’s input to the OHCHR, to inform the Special Rapporteur’s 2025 Position Paper on the Human Rights Impacts of Using Artificial Intelligence in Countering Terrorism, including guidance on good practices.",2025,,policy_report,policy_analysis,Africa,"AI in counter-terrorism poses significant human rights risks, particularly through surveillance, predictive policing, and dual-use technologies, and requires robust safeguards and oversight.",2,2,0,0,yes,both,tangential,"In Ghana, governments often monitor journalists and political opponents using military-grade spyware such as Pegasus. African governments frequently justify these highly intrusive actions as efforts to combat terrorism and protect national security. || The 'black box' nature of many AI systems, where the logic behind decisions is not easily explainable, undermines transparency and complicates oversight across borders. || Unregulated sale and transfer of AI tools for counter-terrorism, such as predictive analytics or facial recognition, can facilitate repression and human rights violations.","Recommends embedding human rights safeguards in the AI lifecycle, including impact assessments, transparency, accountability, and oversight mechanisms; references the EU Dual-Use Regulation, Council of Europe Framework Convention, and UNICRI-INTERPOL Toolkit as normative instruments.",A
main,42,China's Digital Silk Road,2019,,other,other,"global (focus on Asia, China, US, Japan)","Panel discussion on China's Digital Silk Road examining strategic, economic, and security implications for US-Japan cooperation.",1,0,0,0,tangential,civil_to_military,no,"China's BDS navigation system is problematic, particularly when China's already demonstrated a willingness to militarize space. The sensors, the enhanced guidance, the dual use of this, in addition to everything it's doing in the cyber domain is problematic.","Calls for US-Japan public-private partnership to compete with China's Digital Silk Road, including strengthening risk financing, international rulemaking on data flows, and capacity-building in emerging Asia.",A
main,43,The Rise of Chinese AI in the Gulf: a Renewal of China's 'Serbia Model',2020,,policy_report,policy_analysis,"Gulf states (Saudi Arabia, UAE), Serbia",China uses a 'Serbia model' of technology transfer from civilian AI/smart city systems to military cooperation to expand influence in the Gulf.,2,1,1,0,yes,civil_to_military,tangential,"Beijing is using a model it pioneered in Serbia to expand its technological and military interests in the Persian Gulf. || China is using lessons it learned interacting with Serbia to improve its approach toward the Middle East by first building up basic infrastructure, then adding on technology systems, and finally launching bilateral military cooperation. || Huawei has strategically marketed its Safe City technology to Saudi Arabia as an advanced, streamlined way to counter extremism and enhance urban safety.","Recommends US counter China by diversifying tech suppliers, ensuring data security, and offering higher quality products; also suggests loosening arms export restrictions.",A
main,50,BRIEF OF AMICUS CURIAE ELECTRONIC PRIVACY INFORMATION CENTER (EPIC) IN SUPPORT OF PLAINTIFFS-APPELLANTS AND URGING REVERSAL,2026,,other,policy_analysis,"USA (Norfolk, Virginia)",Argues that warrantless use of modern ALPR systems violates the Fourth Amendment because they reveal privacies of life and enable discriminatory predictive policing.,2,3,1,0,yes,civil_to_military,yes,"Modern ALPR systems not only amass vast troves of sensitive location information but also knit it together with other information—commercial and otherwise—that allows law enforcement to infer identity and monitor the habits and routines of everyday people. || The decisions made by an ALPR system are cloaked in objectivity and hidden in a proprietary black box, making it nearly impossible for someone to fully vindicate their rights under the Fourth and Fifth Amendments. || AI-enabled ALPRs likewise facilitate abuses of power akin to the general warrant... applied broadly to entire populations, enabling the state to both generate suspicion and marshal evidence post hoc.","Argues for warrant requirement for ALPR systems, increased transparency, and accountability to prevent abuse and discriminatory policing.",A
main,51,EU's AI Act fails to set gold standard for human rights,2024,,policy_report,policy_analysis,EU,"The EU AI Act fails to adequately protect human rights, with loopholes for law enforcement and migration, and allows export of harmful AI systems.",2,2,2,0,tangential,civil_to_military,no,"The AI Act does not stop EU-based companies from exporting AI systems which are banned in the EU, therefore creating a huge risk of violating rights of people in non-EU countries by EU-made technologies that are essentially incompatible with human rights. || The major shortcoming of the EU database is that negotiators agreed on a carve-out for law enforcement, migration, asylum and border control authorities. Providers and deployers of high-risk systems in these areas will be requested to register only a limited amount of information, and only in a non-publicly accessible section of the database. || The blanket exemption for national security risks undermining other rules: The AI Act and its safeguards will not apply to AI systems if they are developed or used solely for the purpose of national security, and regardless of whether this is done by a public authority or a private company.","The paper recommends comprehensive bans on unacceptable AI uses, meaningful transparency and stakeholder engagement, no national security exemption, and extension of human rights safeguards to exported AI systems. It calls for civil society inclusion in implementation.",A
main,52,POLICIAMENTO PREDITIVO EM FORTALEZA: SEGURANÇA PÚBLICA E O USO DE FERRAMENTAS TECNOLÓGICAS NA PREVENÇÃO DO CRIME,2019,,thesis,theoretical,"Fortaleza, Brazil (Jangurussu, Conjunto Palmeiras, AIS-3)",Proposes implementing predictive policing software in Fortaleza to prevent homicides using historical crime data for efficient police resource allocation.,0,1,2,0,no,neither,no,"A ideia central é que, em vez de aumentar o efetivo policial, ou quando ele é reduzido, empregar melhor os policiais a serviço nas áreas onde se sabe que o crime pode ocorrer. Por meio de um algoritmo (sistema que mostra passo a passo os procedimentos necessários para a resolução de uma tarefa) que, alimentado de uma imensa quantidade de dados, poderá prever crimes antes que aconteçam. || O policiamento preditivo é um processo de policiamento ostensivo, com características preventivas diferenciadas, que trabalha com previsões testáveis, ou seja, previsões baseadas em históricos de crimes em determinada área, especialmente em quadrantes de bairros com maior incidência delitiva e que causam maior sensação de insegurança à população. || É possível que, conforme a sociedade adquira confiança na previsão dos sistemas, os moradores de um bairro X onde o algoritmo indique maior probabilidade de crime, acabem passando por ações sem que nem moradores nem os policiais saibam bem o motivo.","The paper proposes a detailed intervention plan for implementing predictive policing in Fortaleza, including strategies, resource allocation, training, and a timeline. It suggests collaboration with SSPDS, SUPESP, and AESP, and emphasizes the need for well-trained police to use the technology effectively.",A
main,56,Privacy Challenges and Big Data in Smart City,2020,,policy_report,case_study,Hong Kong,"The paper examines privacy challenges in Hong Kong's smart city initiatives, highlighting gaps between existing governance, public trust, and socio-political contexts through case studies of smart lampposts and facial recognition.",1,2,1,1,tangential,civil_to_military,no,"The public concern focuses on whether smart lampposts will become a surveillance system similar to mainland China's, conducting facial recognition on everyone on the street, becoming a tool for police and government to suppress protesters. || The new forms of personal data and privacy are deeply embedded in socio-political relations. This boundary between the public and the private domains could not be defined simply in technical and legal terms. || The foremost task is to regain the public's confidence... the government should make a public statement to promise not to implement some politically sensitive technologies, such as automated or random facial recognition.","Recommends rebuilding public trust, enacting a Protection of Freedoms Act-like ordinance, mandating Privacy Impact Assessments (PIA) for government, requiring data flow charts, and establishing an independent body to monitor national security-related data collection.",A
main,57,Sinergia ‒ condiție esențială a succesului în procesul planificării civil-militare în orașul inteligent / Synergy ‒ the essential condition of success in the civil-military planning process of the smart city,2018,,journal_article,theoretical,global,"Civil-military synergy and data sharing are essential for efficient smart city governance and security across peace, crisis, and war.",2,1,1,0,tangential,civil_to_military,no,"Asigurarea securității multidimensionale (sociale, de mediu, de servicii, cibernetice etc.) în orașele inteligente contribuie în mod semnificativ la reducerea cheltuielilor de funcționare a serviciilor publice, alături de reducerea timpului consumat de utilizatori pentru accesul la aceste servicii, participând, astfel, la creșterea nivelului de trai al populației. || Pentru asigurarea securității cetățenilor și a infrastructurilor critice, este necesară cooperarea civil-militară continuă, care să asigure funcționarea eficientă a orașelor la pace, în situații de criză sau la război. || Astfel, sinergia este o condiție esențială pentru asigurarea funcționării eficiente a orașului inteligent, la pace, în situații de criză sau la război.","Recommends integrated civil-military spatial planning, continuous monitoring, and data-sharing platforms for smart city security, with emphasis on legal frameworks and citizen privacy.",A
main,58,Who buys and controls the CCTV? Myanmar's slippery slope to mass surveillance,2022,,policy_report,empirical_qualitative,"Myanmar (Mandalay, Yangon, Naypyidaw)","CCTV infrastructure procured for civilian smart city projects in Myanmar has been repurposed by the military junta for mass surveillance and suppression of dissent, highlighting the urgent need for transparency and human rights safeguards.",3,3,2,1,tangential,civil_to_military,yes,"CCTV cameras form the infrastructural backbone of a host of emerging technologies – including AI applications like facial and emotion recognition. The mission creep embedded in technical and policy design for CCTVs go from simply being installed cameras for ‘safety’, to being equipped to carry out remote biometric identification. || Overarchingly, we point to how opacity is normalised as a feature and not a bug within Myanmar’s technology procurement framework and we provide recommendations for a way forward. || In Myanmar, particularly since the coup, CCTV cameras have become a kind of weapon that repressive forces have seized and are using to silence dissent.","The report provides detailed recommendations to the military junta (stop purchasing repressive technologies, restore democracy) and to the private sector (refrain from selling to authoritarian regimes, conduct human rights impact assessments). It also calls for a moratorium on procurement, data protection legislation, and a right to information law.",A
main,62,China’s Smart Cities Development,2020,,policy_report,case_study,"China, global","China's smart city initiatives are state-led, dual-use technologies enabling mass surveillance domestically and exported globally, posing economic and security challenges to the U.S.",2,2,2,1,yes,both,tangential,"China’s civilian informatization policies have been designed to account for national security interests and augment China’s military power whenever possible. China’s smart cities policies are not sui generis efforts and should not be taken as such; as the latest in a long series of 'urban informatization' policies, they exist as one component of a broader whole.",The report offers multiple policy recommendations: create local task forces to track foreign smart city tech; support U.S. competitiveness internationally; engage in standard-setting bodies; prioritize Five Eyes and allied countries for vulnerability assessment; legislate supply chain protection for critical infrastructure.,A
main,63,Security in Modern Smart Cities: An Information Technology Perspective,2024,,conference_paper,review,global,"This paper provides a comprehensive overview of security systems in smart cities, highlighting key trends, mass surveillance examples, and challenges for implementation.",0,0,1,0,no,neither,no,"9/11 will be remembered as a watershed incident which made the world realize that the threat of mass terrorism is real and close. || Putting a surveillance camera on a roundabout would not stop any crime or terror activity by its own. What it sees, record and send to the command center must be analyzed as well if it has to contribute in a responsive security system for the city. || The security concepts highlighted in this article would help the network designers and system operators in formulating a flawless strategy for future smart cities.","Discusses policy-level challenges including institutional disconnect, need for coordinated framework, governance, and financial strategies (private sector investment, phased implementation).",A
main,64,The Internet of Military Defense Things: A Smart City Assisted Internet of Military Defense Things Architecture,2025,10.1109/IOTM.001.2400160,journal_article,theoretical,global,Proposes an architecture enabling future military forces to leverage Smart City IoT and deploy IoMDT for real-time situational awareness in intelligent urban environments.,3,0,1,0,yes,civil_to_military,yes,"the principle of leveraging existing Smart City infrastructure to enhance accurate and real-time Situational Awareness (SA) can be beneficial for future military operations || As Smart Cities become a reality, these intelligent urban environments will likely impact the future operational environment, where future military forces will have to conduct a range of operations. || we propose an architecture that enables future military forces, in a permissive intelligent urban operational environment, to access Smart City IoT, deploy their own IoMDT, and leverage distributed and opportunistic computing ... to produce and maintain accurate and real-time SA.",None,A
main,65,Will GPS Jammers Proliferate in the Smart City?,2019,,journal_article,review,global,"The normalisation of tracking in the Smart City may lead to wider ownership of GPS jammers, requiring countermeasures and privacy safeguards.",2,1,1,0,yes,both,tangential,"Since the collapse of the Soviet Union, and when GPS became available for civilians in the 1990s, jamming and counter-jamming technologies have created new markets in the civilian realm and ceased to be confined exclusively to conflict zones and repressed states. || As GPS gets incorporated into civilian infrastructure and systems, animosities between adversaries in military conflicts and political animosities in the civilian domain fuse together. || The article offers possible counter-measures and alternative technologies, either built-in or as alternative navigation aids.","The paper recommends stricter laws on privacy and jammer possession, granting more privacy to likely end-users (e.g., commercial drivers), and investing in alternative navigation systems (e.g., eLoran) to reduce GPS dependence.",A
main,66,Public Trust and Political Legitimacy in the Smart City: A Reckoning for Technocracy,2021,10.1177/0162243921992864,journal_article,empirical_quantitative,Hong Kong,"Examines how public trust and political legitimacy affect support for smart city endeavors in Hong Kong using survey data, finding tensions between technocracy and democracy.",0,1,2,0,no,neither,no,"technocracy presents only an illusion of policymaking as 'sanitized' from politics. According to Hartley (2020), 'technocratic systems and policy design logics emerge from social and value-laden settings; neither materializes from a mythical purity of logic but is fashioned in politically and epistemically contested environments' (p. 237). || the smart city phenomenon invites critical reflection about tensions between technocracy and democracy, but this topic remains largely unexploited by empirical literature. || The implication is that the mechanics of smart cities have more legitimacy than the governance of smart cities.","The study suggests that trust in technology and perceptions of democratic participation are important for public support of smart city programs, implying that governments should address privacy and participation concerns to enhance legitimacy.",A
main,70,"Smart cities, backward frontiers: digital urbanism in India's north-east",2019,10.1080/09584935.2019.1647144,journal_article,case_study,Northeast India,"India's Smart Cities Mission in the Northeast is a state-making project integrating frontier space into national territory, accelerating corporate capital entry, while local authorities use bids to request conventional infrastructure.",2,2,2,2,tangential,civil_to_military,no,"All ten smart city bids from the Northeast include reference to surveillance technology for things like traffic control, public transport management, and the 'safety and security' of citizens. In these cities the targets of safety and security campaigns have been local residents rather than generic criminals or miscreants. || The extension of the SCM to the Northeast is the latest in a long history of state-making projects – violent and non-violent – aimed at integrating frontier space into national territory, and in this case, 'backward' peoples into smart citizens. || Adding enhanced technology, facial recognition, and tracking data to this scenario is a frightening prospect for those deemed to be the beneficiaries of 'safety and security' measures, empowering and emboldening a brutal system of occupation.","The paper critiques the SCM's extension to sensitive spaces, highlighting risks of surveillance abuse, governance fragmentation, and the need to consider local customary authorities and military occupation in smart city planning. Recommends caution in implementing digital urbanism in militarized frontiers.",A
main,73,Application of IoT in Military Operations in a Smart City,2018,,conference_paper,case_study,global,"This paper explores how smart city IoT infrastructure can be exploited for military operations to enhance situational awareness during disaster relief, addressing technical and security challenges.",2,0,0,0,yes,civil_to_military,yes,"This paper, which presents work performed by the NATO IST-147 'Military Applications of Internet of Things' group, explores the potential to exploit smart city IoT capabilities in military operations. || In a smart city environment with a significant deployment of Internet of Things (IoT) sensors, there is a potential to revolutionize SA by leveraging this new sensor capability. || The emergence of smart cities has led to the proliferation of such entities around cities either deployed by city authorities or by private individuals. The military may utilize the additional information of these sources in operations.",None,A
main,77,A Survey of Applicability of Military Data Model Architectures for Smart City Data Consumption and Integration,2018,,conference_paper,theoretical,global,Proposes an architectural concept to integrate Smart City data into military information systems using standardized military data models for improved situational awareness.,3,0,1,0,yes,civil_to_military,yes,"In these cases, an existing Smart City infrastructure can greatly assist emergency forces like relief units or supporting military forces by providing the data it already has. || This paper proposes an architectural concept for connecting to the Smart City data at different levels of aggregation. || The paper discusses how the available data and information from a Smart City infrastructure can be utilized to improve the SA of emergency forces like relief units or the military during an operation in a Smart City environment.",None,A
